epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3982.62,0.59677,0.92855,2.29597,1.02352,0,0.82494,0.79888,0.85301,0.68221,0.83251,0.79492,0.85163,0.67129,0.5132,0.74812,1.71303,1.00664,0,0.000290875,0.000290875,0.000290875
29,4121.36,0.59804,0.95018,2.31882,1.03187,0,0.85085,0.79855,0.85876,0.68695,0.85263,0.79975,0.85671,0.67097,0.51707,0.74612,1.69948,1.00585,0,0.0002785,0.0002785,0.0002785
30,4259.5,0.59841,0.92083,2.31496,1.03102,0,0.80561,0.81803,0.85255,0.67989,0.81101,0.82034,0.85146,0.67496,0.52432,0.75075,1.73963,1.01596,0,0.000266125,0.000266125,0.000266125
31,4397.6,0.58956,0.92361,2.30535,1.02811,0,0.84039,0.78896,0.85312,0.68147,0.84403,0.78749,0.85305,0.67806,0.5123,0.75968,1.79843,1.00524,0,0.00025375,0.00025375,0.00025375
32,4535.34,0.58368,0.92141,2.32885,1.0258,0,0.84131,0.80038,0.85599,0.70418,0.83789,0.7981,0.85863,0.68358,0.50462,0.73308,1.67,1.00456,0,0.000241375,0.000241375,0.000241375
33,4676.69,0.57355,0.92043,2.16844,1.01171,0,0.93493,0.82569,0.86533,0.70572,0.93023,0.81745,0.8604,0.69245,0.49764,0.73473,1.63795,0.99728,0,0.000229,0.000229,0.000229
34,4815.74,0.57609,0.89981,2.16394,1.02027,0,0.91337,0.81979,0.87018,0.6993,0.91007,0.82025,0.86468,0.69552,0.50821,0.72056,1.67191,1.00252,0,0.000216625,0.000216625,0.000216625
35,4956.39,0.59393,0.9153,2.204,1.0353,0,0.89442,0.83463,0.8691,0.71556,0.88484,0.83884,0.87081,0.69854,0.49914,0.72015,1.6412,0.99699,0,0.00020425,0.00020425,0.00020425
36,5096.05,0.57022,0.89761,2.15001,1.01458,0,0.91103,0.83698,0.86922,0.71421,0.90897,0.83262,0.8672,0.69989,0.48755,0.71543,1.53222,0.98948,0,0.000191875,0.000191875,0.000191875
37,5235.94,0.56766,0.88592,2.12968,1.01385,0,0.9123,0.83566,0.86854,0.72393,0.9139,0.83461,0.86797,0.69896,0.48108,0.74743,1.55772,0.98757,0,0.0001795,0.0001795,0.0001795
