epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1926.11,0.59758,1.58751,0.67467,0.9696,0,0.60146,0.51875,0.44028,0.31901,0.78034,0.4031,0.44042,0.25175,0.6114,1.33082,0.53406,0.9728,0,0.000457938,0.000457938,0.000457938
29,1992.42,0.60688,1.56587,0.6825,0.98075,0,0.66369,0.48807,0.42815,0.30739,0.66537,0.4833,0.42402,0.25151,0.59296,1.32674,0.61453,0.97684,0,0.00045175,0.00045175,0.00045175
30,2058.37,0.61264,1.58445,0.67169,0.97866,0,0.56515,0.50489,0.45019,0.31808,0.56051,0.49439,0.44248,0.257,0.59687,1.29797,0.51701,0.96372,0,0.000445562,0.000445562,0.000445562
31,2125.23,0.62582,1.63242,0.67695,0.98377,0,0.62171,0.49766,0.48106,0.3277,0.62092,0.48553,0.46928,0.26249,0.591,1.31612,0.61682,0.9668,0,0.000439375,0.000439375,0.000439375
32,2193.45,0.60589,1.60437,0.65735,0.98085,0,0.65616,0.50981,0.4271,0.31616,0.65659,0.50422,0.45338,0.26345,0.57541,1.27893,0.51621,0.9594,0,0.000433187,0.000433187,0.000433187
33,2261.65,0.61432,1.55725,0.64993,0.97745,0,0.70743,0.42979,0.4737,0.33702,0.70275,0.42343,0.46609,0.26935,0.58823,1.28293,0.53983,0.96419,0,0.000427,0.000427,0.000427
34,2329.01,0.62447,1.59891,0.66014,0.98458,0,0.68713,0.51524,0.45388,0.32547,0.67778,0.50094,0.43984,0.26161,0.60272,1.29965,0.5027,0.97221,0,0.000420812,0.000420812,0.000420812
35,2395.45,0.59719,1.53992,0.62591,0.97916,0,0.65411,0.55216,0.48728,0.33553,0.64653,0.54743,0.48259,0.27436,0.59663,1.27692,0.53028,0.96934,0,0.000414625,0.000414625,0.000414625
36,2462.11,0.6053,1.55715,0.63355,0.9805,0,0.65882,0.47599,0.47258,0.33531,0.65476,0.46983,0.47248,0.27181,0.58127,1.27861,0.50005,0.96164,0,0.000408438,0.000408438,0.000408438
37,2527.46,0.60738,1.55003,0.63346,0.98161,0,0.70238,0.52735,0.46983,0.33875,0.70205,0.52672,0.47303,0.27859,0.58775,1.25867,0.4839,0.96441,0,0.00040225,0.00040225,0.00040225
38,2592.76,0.60071,1.53575,0.62446,0.97598,0,0.65813,0.52163,0.47979,0.33665,0.63786,0.5083,0.45873,0.27032,0.57387,1.27,0.5023,0.96008,0,0.000396063,0.000396063,0.000396063
39,2659.59,0.61136,1.56112,0.61632,0.9851,0,0.64916,0.55181,0.46765,0.33986,0.6531,0.54333,0.47484,0.27483,0.57815,1.28942,0.4915,0.962,0,0.000389875,0.000389875,0.000389875
40,2725.77,0.59825,1.52615,0.61604,0.97952,0,0.69647,0.53488,0.4719,0.33429,0.69559,0.53155,0.46844,0.27702,0.57861,1.25278,0.48073,0.95782,0,0.000383688,0.000383688,0.000383688
41,2792.33,0.59379,1.55348,0.62927,0.96964,0,0.68579,0.53858,0.47895,0.3432,0.67935,0.52941,0.47039,0.27244,0.57762,1.27836,0.47871,0.95618,0,0.0003775,0.0003775,0.0003775
42,2858.57,0.60537,1.6146,0.62859,0.97874,0,0.59663,0.51612,0.47158,0.3417,0.59375,0.51504,0.46464,0.27918,0.57201,1.24493,0.4859,0.9571,0,0.000371313,0.000371313,0.000371313
43,2924.93,0.60035,1.54522,0.61989,0.97402,0,0.68194,0.49175,0.46533,0.33736,0.68907,0.50019,0.46234,0.27661,0.57587,1.26939,0.48867,0.95796,0,0.000365125,0.000365125,0.000365125
44,2989.83,0.60775,1.61568,0.62698,0.98119,0,0.6215,0.53312,0.4878,0.34275,0.62241,0.52771,0.48012,0.27763,0.57141,1.25251,0.46034,0.95764,0,0.000358938,0.000358938,0.000358938
45,3056.82,0.60517,1.53253,0.61497,0.97746,0,0.61868,0.5229,0.477,0.34441,0.61537,0.52707,0.47312,0.28628,0.57792,1.24092,0.46924,0.96031,0,0.00035275,0.00035275,0.00035275
46,3126.38,0.57808,1.48608,0.59881,0.97037,0,0.72355,0.50452,0.49123,0.34922,0.73487,0.50778,0.48806,0.28746,0.56976,1.2259,0.46169,0.95827,0,0.000346563,0.000346563,0.000346563
47,3194.33,0.57956,1.49781,0.59605,0.97166,0,0.71941,0.53722,0.5007,0.35147,0.72289,0.53911,0.4977,0.28723,0.56974,1.23258,0.46542,0.9611,0,0.000340375,0.000340375,0.000340375
48,3260.57,0.59877,1.4948,0.59883,0.97601,0,0.71131,0.53854,0.50228,0.3552,0.71284,0.53781,0.48715,0.29193,0.56287,1.23678,0.45421,0.95698,0,0.000334188,0.000334188,0.000334188
49,3327.52,0.58009,1.46383,0.58525,0.9645,0,0.7256,0.5431,0.50298,0.36461,0.73208,0.54709,0.49977,0.30581,0.56341,1.21947,0.45044,0.95346,0,0.000328,0.000328,0.000328
50,3394.64,0.5863,1.48775,0.58782,0.96661,0,0.72916,0.53811,0.51854,0.3678,0.73707,0.55285,0.51589,0.30549,0.57973,1.22894,0.44593,0.96023,0,0.000321812,0.000321812,0.000321812
51,3461.18,0.58351,1.51167,0.57586,0.97178,0,0.7171,0.54767,0.50619,0.36239,0.71084,0.53753,0.49291,0.29699,0.56675,1.23035,0.44264,0.95446,0,0.000315625,0.000315625,0.000315625
52,3528.28,0.58987,1.48618,0.58365,0.97038,0,0.65558,0.54337,0.51087,0.3662,0.65542,0.53651,0.50407,0.30395,0.56813,1.23921,0.44302,0.95258,0,0.000309437,0.000309437,0.000309437
53,3594.94,0.58095,1.47619,0.57623,0.9647,0,0.72184,0.52832,0.50364,0.36204,0.72019,0.52583,0.49272,0.30019,0.56156,1.21129,0.43877,0.95443,0,0.00030325,0.00030325,0.00030325
